芝麻信用,芝麻分,违约记录,15岁以下,16-20岁,21-25岁,26-30岁,31-35岁,36-40岁,41-45岁,46-50岁,51-55岁,56-60岁,61-65岁,66岁以上,3500以下,3500-5000,5000-8000,8000-1250,12500-38500,38500-58500,58500-83500,大于83000,教育程度,商品房,自建房,公积金,支付宝年龄,无职业,个体,教师,医护人员,职员,公务员,金融从业者,房贷,车贷,其他,婚姻状况,网购记录,违法记录
1,627,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.778874472002739,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.0849837051892705,1
1,658,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.8457180179666586,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.05490097768864377,0
1,557,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.024818250188017046,0
1,550,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301247088636211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.03985961393833041,0
0,721,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0.07244923539734269,0
1,570,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.398113691730502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.05239408373025821,0
1,614,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.1100526447731261,0
1,604,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505285674144132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.04487340185510153,0
1,603,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.019804462271245927,0
1,650,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.14765605414890948,0
1,595,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.301247088636211,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.02983203810478817,0
0,681,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518645524330311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.047380295813487086,0
1,668,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0417873189717515,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.022311356229631485,0
1,680,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.3426200425533477,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.009776886437703684,0
1,626,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.2043913319192994,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.07244923539734269,0
1,586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.3031960574204886,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.022311356229631485,0
1,632,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.114277296561586,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.022311356229631485,0
1,655,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.462547728802664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0849837051892705,0
1,647,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.05239408373025821,0
1,596,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4473131088235682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.062421659563800455,0
1,555,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.478566495593843,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.08749059914765606,0
1,584,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.6998377258672455,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.012283780396089246,0
1,603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.6998377258672455,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.019804462271245927,0
1,612,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.6998377258672455,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.11255953873151166,0
1,633,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505285674144132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.05490097768864377,1
